puzzle,FEN,move,rating,ratingDEV,popularity,NB plays ,themes,url,
6bkdx,5rk1/6p1/3p3p/R2P1p2/1Pq1p2P/3r4/1Q3PP1/R5K1 b - - 4 32,d3d5 a1c1 c4c1 b2c1,2155,76,91,133,crushing endgame short,https://lichess.org/KR5HLA1G/black#64,
6bkjQ,3b4/1p6/p1k3P1/3r1P2/P1pnQ1K1/8/8/8 b - - 2 46,d4f5 e4d5 c6d5 g4f5 d8b6 g6g7,2427,80,92,402,advancedPawn crushing endgame long master,https://lichess.org/xW0ULbme/black#92,
6bkkC,8/5rk1/Q3bq1p/6p1/8/N7/PPP2PPP/4R1K1 w - - 1 28,a6e6 f6f2 g1h1 f2f1 e1f1 f7f1,1164,91,58,72,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/e5LKek9m#55,
6bkkn,8/kq1NQ3/1p2p3/pP1pP1r1/P1p5/2P2p2/5P2/5K2 b - - 3 50,g5e5 d7e5 b7e7 e5c6 a7b7 c6e7,1166,78,93,900,crushing endgame fork long sacrifice,https://lichess.org/fAQG7cKu/black#100,
6bkla,5k2/5bp1/p2p3b/1p3Q2/8/1PP5/PKB4q/8 b - - 4 37,f8g8 f5c8 f7e8 c8e8,1617,75,93,726,endgame mate mateIn2 short,https://lichess.org/Ofvr2ud3/black#74,
6bkmN,8/8/8/8/pk3N1P/4n3/K7/8 b - - 2 52,e3d1 f4d5 b4c5 h4h5 c5d5 h5h6,2482,96,86,76,endgame,https://lichess.org/UgVkKOnn/black#104,
6bkuT,3r1r1k/6Rp/p1p2p2/np2pB2/6R1/2P2P2/P4P1P/6K1 b - - 1 21,f8g8 g7h7,1335,77,82,283,endgame mate mateIn1 oneMove,https://lichess.org/WR6Ir140/black#42,
6bkur,6k1/ppp5/3p4/3P3p/3QP3/8/PPr3q1/K3R3 b - - 1 37,g2f2 e1g1 g8f7 d4g7 f7e8 e4e5 f2f7 g7h8,2838,100,87,167,advantage endgame exposedKing veryLong,https://lichess.org/vtU7Rm37/black#74,
6bkyg,rn1qk2r/1p3ppp/p2p4/3b2P1/5B1b/1N6/PPPK3P/R2Q1BR1 b kq - 0 15,h4f2 d1e2 d8e7 e2f2,1383,75,83,89,crushing fork opening short,https://lichess.org/Dm9jrPPB/black#30,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
6bl5o,r7/2Q5/p4q2/1p1k1p2/3P4/P1P2K2/5P2/8 b - - 0 39,f6c6 c3c4 d5d4 c7c6,2227,77,94,498,crushing deflection endgame short,https://lichess.org/huX0RkSk/black#78,
6bl7B,r1bq3r/6k1/p1p1p3/2PpPpn1/P5p1/3BP1P1/2Q1NP2/R4RK1 w - - 1 23,g1g2 h8h2 g2h2 d8h8 h2g1 g5f3 g1g2 h8h2,2020,76,92,3324,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/4sOdlMEy#45,
6blAp,rnb2rk1/ppp3pp/3ppq2/8/2PPp3/8/PP2PPPP/R1NQKB1R w KQ - 2 11,e2e3 f6f2,568,100,100,259,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/c6fzigN6#21,Dutch_Defense Dutch_Defense_Classical_Variation
6blB5,6k1/2p3pp/8/3P1p2/5b2/1NPR3P/rr3PP1/R5K1 w - - 0 25,a1a2 b2b1 b3c1 b1c1 d3d1 c1d1,1135,85,69,89,endgame fork long mate mateIn3,https://lichess.org/0dcZOinF#49,
6blGT,r1b2rk1/2p2Np1/p1nb3p/1p6/5p2/1BP4P/PP1N2P1/4RR1K b - - 0 19,f8f7 e1e8 g8h7 b3f7,1367,79,86,1845,crushing kingsideAttack middlegame pin short,https://lichess.org/2nbvwVDe/black#38,Philidor_Defense Philidor_Defense_Steinitz_Variation
6blOd,8/3n2p1/5pp1/2pK4/NkP3P1/1P5P/8/8 w - - 2 43,d5e6 b4b3 a4c5 d7c5,1429,217,44,4,crushing endgame knightEndgame short trappedPiece,https://lichess.org/dtMFW4H4#85,
6blYE,8/8/pk1r2pR/6P1/6K1/P7/8/8 w - - 5 49,h6h3 d6d4 g4g3 d4d3 g3g2 d3h3,895,79,96,969,crushing endgame long rookEndgame,https://lichess.org/19PLbeqU#97,
6blZp,3r1rk1/5pbp/p3p1p1/1p5P/1q3PQ1/8/2B2PR1/6RK b - - 1 31,d8d4 h5g6 h7g6 c2g6 f7g6 g4e6 f8f7 g2g6 b4f8 g6g7 f8g7 g1g7 g8g7 e6e5 g7h7 e5d4,2252,76,93,6604,attraction crushing deflection fork middlegame pin veryLong,https://lichess.org/76y8S1JG/black#62,
6blb0,r1bq1bnr/ppp2kpp/3p4/n3P3/4P3/5N2/PPP2PPP/RNBQK2R b KQ - 0 6,f8e7 d1d5 c8e6 d5a5,1242,157,0,7,advantage fork opening short,https://lichess.org/RtoV8ao5/black#12,Italian_Game Italian_Game_Other_variations
6ble4,5rk1/5pp1/3N3p/4P3/1R6/Q2q4/4nPPP/4R1K1 w - - 1 35,e1e2 d3d1 e2e1 d1e1,1156,84,94,137,endgame fork mate mateIn2 short,https://lichess.org/3M7dEFkW#69,
6ble8,r5rk/ppp2Q1p/3b4/8/3pP3/7P/PPPq1P1P/R5RK b - - 0 19,a8f8 g1g8 f8g8 f7f6,1196,77,87,1911,advantage kingsideAttack middlegame short,https://lichess.org/wv0Kv7sP/black#38,Scotch_Game Scotch_Game_Scotch_Gambit
6blfk,5rk1/p4q1p/1p2p1p1/5r1P/3Q4/5PR1/PP3P2/6RK b - - 0 31,f5f3 h5g6 f7f6 g6h7 g8h7 d4e4,2625,89,91,1774,advancedPawn attraction crushing doubleCheck endgame long,https://lichess.org/wLqgXPXs/black#62,
6blhc,r1br2k1/pp3ppp/2n5/3N1q2/1PP5/6P1/2P2P1P/R2Q1RK1 b - - 0 17,c6b4 d5e7 g8f8 d1d8,1609,75,95,6275,discoveredAttack fork mate mateIn2 middlegame short,https://lichess.org/QE5LYa1k/black#34,French_Defense French_Defense_Winawer_Variation
6blji,2r5/p2RP3/1pK1R3/5rk1/5b2/1PP5/P6P/8 w - - 7 48,c6b7 c8b8 b7a6 f5a5,1194,75,94,9827,endgame mate mateIn2 short,https://lichess.org/5GzCVShX#95,
6bll9,8/5pp1/7p/4K3/5P2/4k3/6PP/8 w - - 1 43,g2g4 e3f3 g4g5 h6g5 f4g5 f3g4 g5g6 f7f6,2552,90,91,444,crushing endgame pawnEndgame veryLong,https://lichess.org/JM6d5MaF#85,
6bloT,r3r1k1/ppq2ppp/4bpn1/3P4/5b2/3BBN1P/PPQ2PP1/3RR1K1 b - - 0 16,e6d5 d3g6 c7c2 g6c2,1914,75,86,83,advantage master middlegame short,https://lichess.org/o3kZDIvg/black#32,Caro-Kann_Defense Caro-Kann_Defense_Tartakower_Variation
6blou,8/7k/4Npp1/7p/p1p5/P1PbQ1P1/1P1K3P/7q b - - 3 42,h1b1 e3a7 h7h6 a7g7,1880,76,95,13830,endgame mate mateIn2 short,https://lichess.org/N8rQ1SqS/black#84,
6blwD,r1b2rk1/1p2bppp/p1nppn2/8/3NP3/2NQBP2/PqP1B1PP/R4RK1 b - - 1 12,b2a3 d4c6 b7c6 c3d5 a3d3 d5e7,2029,144,30,9,advantage long middlegame sacrifice,https://lichess.org/d041DBTK/black#24,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
6bm1L,4r2k/pp3prp/5Q2/8/3Pb2n/PP3PPq/1B3R1P/R5K1 b - - 2 26,e8e6 f6d8 g7g8 d4d5 f7f6 b2f6 e6f6 d8f6,1874,77,91,135,crushing discoveredAttack kingsideAttack middlegame veryLong,https://lichess.org/xC46pjch/black#52,
6bm1z,2kr3r/ppp2ppp/2n5/3Bp1q1/8/2PP1Q1b/PP3PPP/RN3RK1 b - - 4 12,h3g2 f3g2 g5g2 d5g2,1561,75,89,334,advantage middlegame short,https://lichess.org/fnoMmIEK/black#24,Italian_Game Italian_Game_Two_Knights_Defense
